"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","part","actual_choice","actual_EV","binary_id","trinary_id","catch","A_key","D_key","choice_prob","choice_amount","chosen_part"
"","","","","","html-keyboard-response","161","457840","0.0-12.0-1.15","a535500d-2b51-4e38-814e-915756f678ee","5985","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪36</span>
                      <span>₪18</span>
                    </p>
                    <p class=""lotteries"">
                      <span>30%</span>
                      <span>50%</span>
                    </p>","d","binary","B","9","22","22","0","A","B","50","18",""
"","","","","","html-keyboard-response","162","459104","0.0-12.0-0.16","a535500d-2b51-4e38-814e-915756f678ee","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","",""
"","","","","","html-keyboard-response","163","462136","0.0-12.0-1.16","a535500d-2b51-4e38-814e-915756f678ee","3031","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪39</span>
                      <span>₪64</span>
                    </p>
                    <p class=""lotteries"">
                      <span>65%</span>
                      <span>50%</span>
                    </p>","d","binary","B","32","1","1","0","A","B","50","64",""
"","","","","","html-keyboard-response","164","462872","0.0-12.0-0.17","a535500d-2b51-4e38-814e-915756f678ee","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","",""
"","","","","","html-keyboard-response","165","466792","0.0-12.0-1.17","a535500d-2b51-4e38-814e-915756f678ee","3919","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪4</span>
                      <span>₪36</span>
                    </p>
                    <p class=""lotteries"">
                      <span>75%</span>
                      <span>30%</span>
                    </p>","a","binary","B","3","20","20","0","B","A","75","4",""
"","","","","","html-keyboard-response","166","467319","0.0-12.0-0.18","a535500d-2b51-4e38-814e-915756f678ee","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","",""
"","","","","","html-keyboard-response","167","469904","0.0-12.0-1.18","a535500d-2b51-4e38-814e-915756f678ee","2584","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪71</span>
                      <span>₪36</span>
                    </p>
                    <p class=""lotteries"">
                      <span>55%</span>
                      <span>75%</span>
                    </p>","a","binary","B","39.05","5","5","0","B","A","55","71",""
"","","","","","html-keyboard-response","168","470983","0.0-12.0-0.19","a535500d-2b51-4e38-814e-915756f678ee","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","",""
"","","","","","html-keyboard-response","169","473920","0.0-12.0-1.19","a535500d-2b51-4e38-814e-915756f678ee","2936","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪36</span>
                      <span>₪58</span>
                    </p>
                    <p class=""lotteries"">
                      <span>75%</span>
                      <span>40%</span>
                    </p>","a","binary","B","27","13","13","0","B","A","75","36",""
"","","","","","html-keyboard-response","170","475124","0.0-12.0-0.20","a535500d-2b51-4e38-814e-915756f678ee","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","",""
"","","","","","html-keyboard-response","171","478544","0.0-12.0-1.20","a535500d-2b51-4e38-814e-915756f678ee","3419","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪11</span>
                      <span>₪16</span>
                    </p>
                    <p class=""lotteries"">
                      <span>25%</span>
                      <span>20%</span>
                    </p>","d","binary","A","3.2","27","27","0","B","A","20","16",""
"","","","","","html-keyboard-response","172","479834","0.0-12.0-0.21","a535500d-2b51-4e38-814e-915756f678ee","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","",""
"","","","","","html-keyboard-response","173","482928","0.0-12.0-1.21","a535500d-2b51-4e38-814e-915756f678ee","3092","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪43</span>
                      <span>₪61</span>
                    </p>
                    <p class=""lotteries"">
                      <span>60%</span>
                      <span>55%</span>
                    </p>","d","binary","B","33.55","7","7","0","A","B","55","61",""
"","","","","","html-keyboard-response","174","483998","0.0-12.0-0.22","a535500d-2b51-4e38-814e-915756f678ee","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","",""
"","","","","","html-keyboard-response","175","488650","0.0-12.0-1.22","a535500d-2b51-4e38-814e-915756f678ee","4656","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪39</span>
                      <span>₪43</span>
                    </p>
                    <p class=""lotteries"">
                      <span>65%</span>
                      <span>60%</span>
                    </p>","d","binary","B","25.8","15","15","0","A","B","60","43",""
"","","","","","html-keyboard-response","176","489741","0.0-12.0-0.23","a535500d-2b51-4e38-814e-915756f678ee","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","",""
"","","","","","html-keyboard-response","177","491978","0.0-12.0-1.23","a535500d-2b51-4e38-814e-915756f678ee","2235","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪58</span>
                      <span>₪64</span>
                    </p>
                    <p class=""lotteries"">
                      <span>40%</span>
                      <span>25%</span>
                    </p>","a","binary","B","23.2","21","21","0","B","A","40","58",""
"","","","","","html-keyboard-response","178","493465","0.0-12.0-0.24","a535500d-2b51-4e38-814e-915756f678ee","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","",""
"","","","","","html-keyboard-response","179","499172","0.0-12.0-1.24","a535500d-2b51-4e38-814e-915756f678ee","5705","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪64</span>
                      <span>₪36</span>
                    </p>
                    <p class=""lotteries"">
                      <span>50%</span>
                      <span>70%</span>
                    </p>","a","binary","B","32","3","3","0","B","A","50","64",""
"","","","","","html-keyboard-response","180","500384","0.0-12.0-0.25","a535500d-2b51-4e38-814e-915756f678ee","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","",""
"","","","","","html-keyboard-response","181","505817","0.0-12.0-1.25","a535500d-2b51-4e38-814e-915756f678ee","5431","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪11</span>
                      <span>₪18</span>
                    </p>
                    <p class=""lotteries"">
                      <span>45%</span>
                      <span>25%</span>
                    </p>","a","binary","B","4.95","14","14","0","B","A","45","11",""
"","","","","","html-keyboard-response","182","507298","0.0-12.0-0.26","a535500d-2b51-4e38-814e-915756f678ee","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","",""
"","","","","","html-keyboard-response","183","510466","0.0-12.0-1.26","a535500d-2b51-4e38-814e-915756f678ee","3166","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪76</span>
                      <span>₪43</span>
                    </p>
                    <p class=""lotteries"">
                      <span>65%</span>
                      <span>75%</span>
                    </p>","a","binary","B","49.4","24","24","0","B","A","65","76",""
"","","","","","html-keyboard-response","184","511901","0.0-12.0-0.27","a535500d-2b51-4e38-814e-915756f678ee","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","",""
"","","","","","html-keyboard-response","185","516746","0.0-12.0-1.27","a535500d-2b51-4e38-814e-915756f678ee","4843","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪61</span>
                      <span>₪43</span>
                    </p>
                    <p class=""lotteries"">
                      <span>45%</span>
                      <span>75%</span>
                    </p>","d","binary","B","32.25","11","11","0","A","B","75","43",""
"","","","","","html-keyboard-response","186","517449","0.0-12.0-0.28","a535500d-2b51-4e38-814e-915756f678ee","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","",""
"","","","","","html-keyboard-response","187","522106","0.0-12.0-1.28","a535500d-2b51-4e38-814e-915756f678ee","4654","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪16</span>
                      <span>₪4</span>
                    </p>
                    <p class=""lotteries"">
                      <span>20%</span>
                      <span>50%</span>
                    </p>","a","binary","A","3.2","17","17","0","A","B","20","16",""
"","","","","","html-keyboard-response","188","523488","0.0-12.0-0.29","a535500d-2b51-4e38-814e-915756f678ee","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","",""
"","","","","","html-keyboard-response","189","527266","0.0-12.0-1.29","a535500d-2b51-4e38-814e-915756f678ee","3776","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪71</span>
                      <span>₪36</span>
                    </p>
                    <p class=""lotteries"">
                      <span>45%</span>
                      <span>75%</span>
                    </p>","d","binary","B","27","16","16","0","A","B","75","36",""
"","","","","","html-keyboard-response","190","528278","0.0-13.0","a535500d-2b51-4e38-814e-915756f678ee","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","",""
"","","","","","html-keyboard-response","191","528983","0.0-14.0","a535500d-2b51-4e38-814e-915756f678ee","null","","null","delay","","","","","","","","","",""
"","","","","","html-keyboard-response","192","538842","0.0-15.0","a535500d-2b51-4e38-814e-915756f678ee","9857","<h1>הסוף</h1>
        <p>אנו מודים לכם על ההשתתפות!
        <p>כעת נשחק את אחת ההגרלות שבחרתם, באחד משני החלקים.
        <br>אנא קראו לנו הרצת ההגרלות</p>"," ","","","","","","","","","","",""
