"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","part","slider_start","ID","set_ID","prob","amount","last_location","actual_choice","actual_EV","binary_id","trinary_id","catch","direction","A_key","S_key","D_key","choice_prob","choice_amount","potential_prize_prob","potential_prize_amount","won_prize","total_prize","accuracy"
"","","","","","html-keyboard-response","465","1086097","0.0-39.0-1.15","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","2273","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/S.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪11</span>
                      <span>₪58</span>
                      <span>₪4</span>
                    </p>
                    <p class=""lotteries"">
                      <span>25%</span>
                      <span>30%</span>
                      <span>25%</span>
                    </p>","s","trinary","","","","","","","A","17.4","30","30","1","-","B","A","C","30","58","","","","",""
"","","","","","html-keyboard-response","466","1087178","0.0-39.0-0.16","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","467","1090840","0.0-39.0-1.16","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","3660","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/S.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪43</span>
                      <span>₪11</span>
                      <span>₪76</span>
                    </p>
                    <p class=""lotteries"">
                      <span>75%</span>
                      <span>75%</span>
                      <span>65%</span>
                    </p>","d","trinary","","","","","","","B","49.4","24","24","0","A","A","C","B","65","76","","","","",""
"","","","","","html-keyboard-response","468","1092076","0.0-39.0-0.17","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","469","1093440","0.0-39.0-1.17","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","1364","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/S.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪36</span>
                      <span>₪58</span>
                      <span>₪61</span>
                    </p>
                    <p class=""lotteries"">
                      <span>70%</span>
                      <span>40%</span>
                      <span>45%</span>
                    </p>","a","trinary","","","","","","","B","25.2","10","10","0","A","B","C","A","70","36","","","","",""
"","","","","","html-keyboard-response","470","1094239","0.0-39.0-0.18","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","471","1098569","0.0-39.0-1.18","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","4328","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/S.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪79</span>
                      <span>₪71</span>
                      <span>₪76</span>
                    </p>
                    <p class=""lotteries"">
                      <span>65%</span>
                      <span>75%</span>
                      <span>65%</span>
                    </p>","s","trinary","","","","","","","B","53.25","8","8","0","A","A","B","C","75","71","","","","",""
"","","","","","html-keyboard-response","472","1099826","0.0-39.0-0.19","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","473","1110841","0.0-39.0-1.19","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","11005","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/S.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪36</span>
                      <span>₪36</span>
                      <span>₪71</span>
                    </p>
                    <p class=""lotteries"">
                      <span>75%</span>
                      <span>70%</span>
                      <span>55%</span>
                    </p>","d","trinary","","","","","","","B","39.05","5","5","0","A","A","C","B","55","71","","","","",""
"","","","","","html-keyboard-response","474","1111506","0.0-39.0-0.20","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","475","1117393","0.0-39.0-1.20","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","5886","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/S.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪36</span>
                      <span>₪18</span>
                      <span>₪11</span>
                    </p>
                    <p class=""lotteries"">
                      <span>30%</span>
                      <span>50%</span>
                      <span>75%</span>
                    </p>","s","trinary","","","","","","","B","9","22","22","0","-","A","B","C","50","18","","","","",""
"","","","","","html-keyboard-response","476","1118261","0.0-39.0-0.21","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","477","1121376","0.0-39.0-1.21","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","3114","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/S.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪36</span>
                      <span>₪58</span>
                      <span>₪58</span>
                    </p>
                    <p class=""lotteries"">
                      <span>75%</span>
                      <span>30%</span>
                      <span>40%</span>
                    </p>","a","trinary","","","","","","","B","27","13","13","0","A","B","C","A","75","36","","","","",""
"","","","","","html-keyboard-response","478","1122475","0.0-39.0-0.22","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","479","1125977","0.0-39.0-1.22","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","3501","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/S.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪4</span>
                      <span>₪11</span>
                      <span>₪16</span>
                    </p>
                    <p class=""lotteries"">
                      <span>50%</span>
                      <span>20%</span>
                      <span>20%</span>
                    </p>","d","trinary","","","","","","","A","3.2","17","17","0","A","B","C","A","20","16","","","","",""
"","","","","","html-keyboard-response","480","1127282","0.0-39.0-0.23","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","481","1132985","0.0-39.0-1.23","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","5703","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/S.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪36</span>
                      <span>₪61</span>
                      <span>₪43</span>
                    </p>
                    <p class=""lotteries"">
                      <span>60%</span>
                      <span>55%</span>
                      <span>60%</span>
                    </p>","s","trinary","","","","","","","B","33.55","7","7","0","A","C","B","A","55","61","","","","",""
"","","","","","html-keyboard-response","482","1134386","0.0-39.0-0.24","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","483","1137665","0.0-39.0-1.24","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","3278","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/S.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪11</span>
                      <span>₪16</span>
                      <span>₪4</span>
                    </p>
                    <p class=""lotteries"">
                      <span>25%</span>
                      <span>20%</span>
                      <span>75%</span>
                    </p>","s","trinary","","","","","","","A","3.2","27","27","0","-","B","A","C","20","16","","","","",""
"","","","","","html-keyboard-response","484","1139069","0.0-39.0-0.25","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","485","1141441","0.0-39.0-1.25","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","2371","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/S.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪18</span>
                      <span>₪43</span>
                      <span>₪71</span>
                    </p>
                    <p class=""lotteries"">
                      <span>50%</span>
                      <span>60%</span>
                      <span>45%</span>
                    </p>","d","trinary","","","","","","","B","31.95","2","2","0","A","C","A","B","45","71","","","","",""
"","","","","","html-keyboard-response","486","1142560","0.0-39.0-0.26","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","487","1144369","0.0-39.0-1.26","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","1808","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/S.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪16</span>
                      <span>₪4</span>
                      <span>₪36</span>
                    </p>
                    <p class=""lotteries"">
                      <span>20%</span>
                      <span>75%</span>
                      <span>30%</span>
                    </p>","d","trinary","","","","","","","A","10.8","20","20","0","A","C","B","A","30","36","","","","",""
"","","","","","html-keyboard-response","488","1145640","0.0-39.0-0.27","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","489","1149497","0.0-39.0-1.27","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","3857","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/S.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪36</span>
                      <span>₪43</span>
                      <span>₪39</span>
                    </p>
                    <p class=""lotteries"">
                      <span>60%</span>
                      <span>60%</span>
                      <span>65%</span>
                    </p>","d","trinary","","","","","","","A","25.35","15","15","0","-","C","B","A","65","39","","","","",""
"","","","","","html-keyboard-response","490","1150643","0.0-39.0-0.28","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","491","1151969","0.0-39.0-1.28","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","1325","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/S.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪64</span>
                      <span>₪4</span>
                      <span>₪11</span>
                    </p>
                    <p class=""lotteries"">
                      <span>25%</span>
                      <span>25%</span>
                      <span>75%</span>
                    </p>","a","trinary","","","","","","","A","16","6","6","0","B","A","C","B","25","64","","","","",""
"","","","","","html-keyboard-response","492","1152926","0.0-39.0-0.29","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","493","1154313","0.0-39.0-1.29","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","1386","
                    <p class=""lotteries"">
                      <span><img src='img/A.png', width=""30""></span>
                      <span><img src='img/S.png', width=""30""></span>
                      <span><img src='img/D.png', width=""30""></span>
                    </p>
                    <p class=""lotteries"">
                      <span>₪18</span>
                      <span>₪11</span>
                      <span>₪4</span>
                    </p>
                    <p class=""lotteries"">
                      <span>25%</span>
                      <span>20%</span>
                      <span>75%</span>
                    </p>","a","trinary","","","","","","","A","4.5","23","23","0","A","A","C","B","25","18","","","","",""
"","","","","","html-keyboard-response","494","1155319","0.0-40.0","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","null","<p style=""text-align: center;"">+</p>","null","fixation","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","495","1156034","0.0-41.0","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","null","","null","delay","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","496","1243295","0.0-42.0","50052cbf-eedb-4b9a-bc19-fe6cde12d8bc","87262","<h1>הסוף</h1>
        <p>אנו מודים לכם על ההשתתפות!
        <p>כעת נשחק את אחת ההגרלות שבחרתם.
        <brאנא המתינו לאחראים לצורך הרצת ההגרלה</p>"," ","","","","","","","","","","","","","","","","","","","","","","",""
