success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,rt,stimulus,response,part,slider_start,ID,set_ID,prob,amount,last_location,actual_choice,actual_EV,binary_id,trinary_id,catch,A_key,D_key,choice_prob,choice_amount,potential_prize_prob,potential_prize_amount,won_prize,remaining_budget,total_prize
,,,,,html-slider-response,12,125455,0.0-12.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"
                    <p style=""text-align: center;"">₪18<br>35%</p>
                    <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",null,instructions,41,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,13,125723,0.0-13.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p>לא הגבתם בזמן המוקצב לתגובה. 
                <br>נסו להגיב מהר יותר בפעם הבאה.
                <br><br>לחצו על העכבר כדי להמשיך.</p>",1,instructions,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,14,128323,0.0-14.0-0.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,2340,"
                    <p style=""text-align: center;"">₪40<br>65%</p>
                    <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",3,instructions,72,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,15,134147,0.0-14.0-1.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p>יפה. הפעם בחרתם לשלם לכל היותר ₪3.
                <br><br>לחצו על העכבר כדי להמשיך.</p>",1,instructions,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,16,146171,0.0-15.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p>כעת נתחיל את הניסוי.
                <br><br>אתם תראו הגרלות ותתבקשו לבחור כמה תהיו מוכנים לשלם כדי להשתתף בהן.
                <br>יש לכם תקציב של ₪80 עבור כל הגרלה.
                <br>בסוף הניסוי הגרלה אחת תבחר באקראי ותשוחק.
                <br><br>לחצו על העכבר כדי להתחיל את הניסוי.</p>",1,instructions,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,17,147438,0.0-16.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,18,148443,0.0-17.0-0.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1000,"
                  <p style=""text-align: center;"">₪71
                                                <br>55%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,27,"5B,18A",,,,,,,,,,,,,,,,,
,,,,,html-slider-response,19,150987,0.0-17.0-1.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,2542,"
                  <p style=""text-align: center;"">₪71
                                                <br>55%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",8,evaluation,2,27,"5B,18A",55,71,9,,,,,,,,,,,,,,
,,,,,html-keyboard-response,20,151801,0.0-17.0-2.0,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,21,152819,0.0-17.0-0.1,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1000,"
                  <p style=""text-align: center;"">₪18
                                                <br>50%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,10,"2C,16C,22B,28A",,,,,,,,,,,,,,,,,
,,,,,html-slider-response,22,156831,0.0-17.0-1.1,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"
                  <p style=""text-align: center;"">₪18
                                                <br>50%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",null,evaluation,74,10,"2C,16C,22B,28A",50,18,3,,,,,,,,,,,,,,
,,,,,html-keyboard-response,23,157942,0.0-17.0-2.1,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,24,158948,0.0-17.0-0.2,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1000,"
                  <p style=""text-align: center;"">₪4
                                                <br>75%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,3,"12B,20B,23B,27C,29C",,,,,,,,,,,,,,,,,
,,,,,html-slider-response,25,160211,0.0-17.0-1.2,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1262,"
                  <p style=""text-align: center;"">₪4
                                                <br>75%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",0,evaluation,38,3,"12B,20B,23B,27C,29C",75,4,0,,,,,,,,,,,,,,
,,,,,html-keyboard-response,26,160868,0.0-17.0-2.2,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,27,161881,0.0-17.0-0.3,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1000,"
                  <p style=""text-align: center;"">₪16
                                                <br>20%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,8,"14C,17A,20C,27A",,,,,,,,,,,,,,,,,
,,,,,html-slider-response,28,165894,0.0-17.0-1.3,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"
                  <p style=""text-align: center;"">₪16
                                                <br>20%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",null,evaluation,63,8,"14C,17A,20C,27A",20,16,1,,,,,,,,,,,,,,
,,,,,html-keyboard-response,29,167097,0.0-17.0-2.3,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,30,168110,0.0-17.0-0.4,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1000,"
                  <p style=""text-align: center;"">₪58
                                                <br>30%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,19,"13C,30A",,,,,,,,,,,,,,,,,
,,,,,html-slider-response,31,171307,0.0-17.0-1.4,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,3196,"
                  <p style=""text-align: center;"">₪58
                                                <br>30%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",5,evaluation,36,19,"13C,30A",30,58,5,,,,,,,,,,,,,,
,,,,,html-keyboard-response,32,172020,0.0-17.0-2.4,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,33,173036,0.0-17.0-0.5,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1000,"
                  <p style=""text-align: center;"">₪71
                                                <br>45%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,26,"2B,16A",,,,,,,,,,,,,,,,,
,,,,,html-slider-response,34,175947,0.0-17.0-1.5,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,2909,"
                  <p style=""text-align: center;"">₪71
                                                <br>45%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",5,evaluation,44,26,"2B,16A",45,71,6,,,,,,,,,,,,,,
,,,,,html-keyboard-response,35,176954,0.0-17.0-2.5,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,36,177967,0.0-17.0-0.6,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1000,"
                  <p style=""text-align: center;"">₪43
                                                <br>60%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,17,"2A,7A,9A,15B",,,,,,,,,,,,,,,,,
,,,,,html-slider-response,37,180627,0.0-17.0-1.6,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,2659,"
                  <p style=""text-align: center;"">₪43
                                                <br>60%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",3,evaluation,56,17,"2A,7A,9A,15B",60,43,4,,,,,,,,,,,,,,
,,,,,html-keyboard-response,38,181980,0.0-17.0-2.6,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,39,182993,0.0-17.0-0.7,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1000,"
                  <p style=""text-align: center;"">₪58
                                                <br>45%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,21,"11C,18C,25A",,,,,,,,,,,,,,,,,
,,,,,html-slider-response,40,186211,0.0-17.0-1.7,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,3216,"
                  <p style=""text-align: center;"">₪58
                                                <br>45%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",2,evaluation,5,21,"11C,18C,25A",45,58,3,,,,,,,,,,,,,,
,,,,,html-keyboard-response,41,186759,0.0-17.0-2.7,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,42,187766,0.0-17.0-0.8,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1000,"
                  <p style=""text-align: center;"">₪64
                                                <br>25%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,24,"6A,21A",,,,,,,,,,,,,,,,,
,,,,,html-slider-response,43,191243,0.0-17.0-1.8,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,3476,"
                  <p style=""text-align: center;"">₪64
                                                <br>25%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",2,evaluation,47,24,"6A,21A",25,64,3,,,,,,,,,,,,,,
,,,,,html-keyboard-response,44,192356,0.0-17.0-2.8,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,45,193368,0.0-17.0-0.9,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1000,"
                  <p style=""text-align: center;"">₪64
                                                <br>50%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,25,"1B,3B,4A",,,,,,,,,,,,,,,,,
,,,,,html-slider-response,46,197375,0.0-17.0-1.9,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"
                  <p style=""text-align: center;"">₪64
                                                <br>50%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",null,evaluation,20,25,"1B,3B,4A",50,64,7,,,,,,,,,,,,,,
,,,,,html-keyboard-response,47,197922,0.0-17.0-2.9,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,48,198937,0.0-17.0-0.10,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1000,"
                  <p style=""text-align: center;"">₪61
                                                <br>55%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,23,"7B,26B",,,,,,,,,,,,,,,,,
,,,,,html-slider-response,49,201803,0.0-17.0-1.10,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,2864,"
                  <p style=""text-align: center;"">₪61
                                                <br>55%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",6,evaluation,67,23,"7B,26B",55,61,7,,,,,,,,,,,,,,
,,,,,html-keyboard-response,50,202430,0.0-17.0-2.10,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,51,203440,0.0-17.0-0.11,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1000,"
                  <p style=""text-align: center;"">₪39
                                                <br>65%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,16,"1A,15A,26C",,,,,,,,,,,,,,,,,
,,,,,html-slider-response,52,206139,0.0-17.0-1.11,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,2697,"
                  <p style=""text-align: center;"">₪39
                                                <br>65%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",6,evaluation,75,16,"1A,15A,26C",65,39,7,,,,,,,,,,,,,,
,,,,,html-keyboard-response,53,206682,0.0-17.0-2.11,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,54,207686,0.0-17.0-0.12,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1000,"
                  <p style=""text-align: center;"">₪58
                                                <br>40%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,20,"10C,13A,19C,21B",,,,,,,,,,,,,,,,,
,,,,,html-slider-response,55,211003,0.0-17.0-1.12,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,3316,"
                  <p style=""text-align: center;"">₪58
                                                <br>40%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",4,evaluation,18,20,"10C,13A,19C,21B",40,58,5,,,,,,,,,,,,,,
,,,,,html-keyboard-response,56,211778,0.0-17.0-2.12,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,57,212790,0.0-17.0-0.13,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1000,"
                  <p style=""text-align: center;"">₪71
                                                <br>75%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,28,8B,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,58,215995,0.0-17.0-1.13,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,3203,"
                  <p style=""text-align: center;"">₪71
                                                <br>75%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",7,evaluation,38,28,8B,75,71,7,,,,,,,,,,,,,,
,,,,,html-keyboard-response,59,216975,0.0-17.0-2.13,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,60,217990,0.0-17.0-0.14,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1000,"
                  <p style=""text-align: center;"">₪79
                                                <br>40%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,30,9B,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,61,220899,0.0-17.0-1.14,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,2907,"
                  <p style=""text-align: center;"">₪79
                                                <br>40%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",3,evaluation,3,30,9B,40,79,4,,,,,,,,,,,,,,
,,,,,html-keyboard-response,62,221534,0.0-17.0-2.14,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,63,222552,0.0-17.0-0.15,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1000,"
                  <p style=""text-align: center;"">₪39
                                                <br>60%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,15,"9C,25B",,,,,,,,,,,,,,,,,
,,,,,html-slider-response,64,225427,0.0-17.0-1.15,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,2874,"
                  <p style=""text-align: center;"">₪39
                                                <br>60%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",4,evaluation,13,15,"9C,25B",60,39,5,,,,,,,,,,,,,,
,,,,,html-keyboard-response,65,226445,0.0-17.0-2.15,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,66,227461,0.0-17.0-0.16,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1000,"
                  <p style=""text-align: center;"">₪36
                                                <br>30%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,11,"3C,20A,22A",,,,,,,,,,,,,,,,,
,,,,,html-slider-response,67,231211,0.0-17.0-1.16,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,3749,"
                  <p style=""text-align: center;"">₪36
                                                <br>30%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",4,evaluation,33,11,"3C,20A,22A",30,36,5,,,,,,,,,,,,,,
,,,,,html-keyboard-response,68,232319,0.0-17.0-2.16,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,69,233334,0.0-17.0-0.17,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1000,"
                  <p style=""text-align: center;"">₪61
                                                <br>45%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,22,"10A,11A",,,,,,,,,,,,,,,,,
,,,,,html-slider-response,70,236699,0.0-17.0-1.17,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,3363,"
                  <p style=""text-align: center;"">₪61
                                                <br>45%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",4,evaluation,29,22,"10A,11A",45,61,4,,,,,,,,,,,,,,
,,,,,html-keyboard-response,71,237707,0.0-17.0-2.17,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,,,,,
,,,,,html-slider-response,72,238721,0.0-17.0-0.18,e945a69c-3c1d-47e5-8dcc-c414004fbdc8,1000,"
                  <p style=""text-align: center;"">₪11
                                                <br>75%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,7,"6B,18B,22C,24C,29A",,,,,,,,,,,,,,,,,
