success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,rt,stimulus,response,part,slider_start,ID,set_ID,prob,amount,last_location,actual_choice,actual_EV,binary_id,trinary_id,catch,A_key,D_key,choice_prob,choice_amount,total_prize
,,,,,html-keyboard-response,14,140143,0.0-15.0,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p>כעת נתחיל את הניסוי.
                <br><br>אתם תראו הגרלות ותתבקשו לבחור כמה תהיו מוכנים לשלם כדי להשתתף בהן.
                <br>יש לכם תקציב של ₪80 עבור כל הגרלה.
                <br>בסוף הניסוי הגרלה אחת תבחר באקראי ותשוחק.
                <br><br>לחצו על העכבר כדי להתחיל את הניסוי.</p>",1,instructions,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,15,141421,0.0-16.0,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-slider-response,16,142423,0.0-17.0-0.0,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1000,"
                  <p style=""text-align: center;"">₪79
                                                <br>40%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,30,9B,,,,,,,,,,,,,
,,,,,html-slider-response,17,145367,0.0-17.0-1.0,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,2942,"
                  <p style=""text-align: center;"">₪79
                                                <br>40%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",70,evaluation,52,30,9B,40,79,70,,,,,,,,,,
,,,,,html-keyboard-response,18,146483,0.0-17.0-2.0,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-slider-response,19,147493,0.0-17.0-0.1,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1000,"
                  <p style=""text-align: center;"">₪43
                                                <br>60%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,17,"2A,7A,9A,15B",,,,,,,,,,,,,
,,,,,html-slider-response,20,150559,0.0-17.0-1.1,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,3065,"
                  <p style=""text-align: center;"">₪43
                                                <br>60%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",35,evaluation,80,17,"2A,7A,9A,15B",60,43,35,,,,,,,,,,
,,,,,html-keyboard-response,21,151900,0.0-17.0-2.1,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-slider-response,22,152914,0.0-17.0-0.2,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1000,"
                  <p style=""text-align: center;"">₪4
                                                <br>50%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,2,"4C,17B",,,,,,,,,,,,,
,,,,,html-slider-response,23,155447,0.0-17.0-1.2,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,2532,"
                  <p style=""text-align: center;"">₪4
                                                <br>50%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",1,evaluation,15,2,"4C,17B",50,4,2,,,,,,,,,,
,,,,,html-keyboard-response,24,156232,0.0-17.0-2.2,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-slider-response,25,157236,0.0-17.0-0.3,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1000,"
                  <p style=""text-align: center;"">₪61
                                                <br>55%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,23,"7B,26B",,,,,,,,,,,,,
,,,,,html-slider-response,26,160647,0.0-17.0-1.3,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,3410,"
                  <p style=""text-align: center;"">₪61
                                                <br>55%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",48,evaluation,27,23,"7B,26B",55,61,48,,,,,,,,,,
,,,,,html-keyboard-response,27,161593,0.0-17.0-2.3,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-slider-response,28,162609,0.0-17.0-0.4,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1000,"
                  <p style=""text-align: center;"">₪71
                                                <br>45%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,26,"2B,16A",,,,,,,,,,,,,
,,,,,html-slider-response,29,166621,0.0-17.0-1.4,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"
                  <p style=""text-align: center;"">₪71
                                                <br>45%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",null,evaluation,73,26,"2B,16A",45,71,49,,,,,,,,,,
,,,,,html-keyboard-response,30,167759,0.0-17.0-2.4,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-slider-response,31,168773,0.0-17.0-0.5,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1000,"
                  <p style=""text-align: center;"">₪36
                                                <br>30%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,11,"3C,20A,22A",,,,,,,,,,,,,
,,,,,html-slider-response,32,171175,0.0-17.0-1.5,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,2401,"
                  <p style=""text-align: center;"">₪36
                                                <br>30%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",19,evaluation,28,11,"3C,20A,22A",30,36,19,,,,,,,,,,
,,,,,html-keyboard-response,33,172632,0.0-17.0-2.5,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-slider-response,34,173634,0.0-17.0-0.6,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1000,"
                  <p style=""text-align: center;"">₪4
                                                <br>25%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,1,"6C,29B,30C",,,,,,,,,,,,,
,,,,,html-slider-response,35,175159,0.0-17.0-1.6,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1524,"
                  <p style=""text-align: center;"">₪4
                                                <br>25%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",2,evaluation,55,1,"6C,29B,30C",25,4,2,,,,,,,,,,
,,,,,html-keyboard-response,36,175827,0.0-17.0-2.6,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-slider-response,37,176829,0.0-17.0-0.7,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1000,"
                  <p style=""text-align: center;"">₪39
                                                <br>65%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,16,"1A,15A,26C",,,,,,,,,,,,,
,,,,,html-slider-response,38,179822,0.0-17.0-1.7,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,2993,"
                  <p style=""text-align: center;"">₪39
                                                <br>65%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",28,evaluation,37,16,"1A,15A,26C",65,39,28,,,,,,,,,,
,,,,,html-keyboard-response,39,180923,0.0-17.0-2.7,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-slider-response,40,181932,0.0-17.0-0.8,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1000,"
                  <p style=""text-align: center;"">₪43
                                                <br>75%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,18,"11B,19B,24A,26A",,,,,,,,,,,,,
,,,,,html-slider-response,41,183534,0.0-17.0-1.8,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1600,"
                  <p style=""text-align: center;"">₪43
                                                <br>75%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",14,evaluation,33,18,"11B,19B,24A,26A",75,43,14,,,,,,,,,,
,,,,,html-keyboard-response,42,184642,0.0-17.0-2.8,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-slider-response,43,185644,0.0-17.0-0.9,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1000,"
                  <p style=""text-align: center;"">₪16
                                                <br>20%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,8,"14C,17A,20C,27A",,,,,,,,,,,,,
,,,,,html-slider-response,44,187646,0.0-17.0-1.9,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,2001,"
                  <p style=""text-align: center;"">₪16
                                                <br>20%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",12,evaluation,60,8,"14C,17A,20C,27A",20,16,13,,,,,,,,,,
,,,,,html-keyboard-response,45,188832,0.0-17.0-2.9,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-slider-response,46,189835,0.0-17.0-0.10,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1000,"
                  <p style=""text-align: center;"">₪71
                                                <br>55%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,27,"5B,18A",,,,,,,,,,,,,
,,,,,html-slider-response,47,193836,0.0-17.0-1.10,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"
                  <p style=""text-align: center;"">₪71
                                                <br>55%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",null,evaluation,70,27,"5B,18A",55,71,47,,,,,,,,,,
,,,,,html-keyboard-response,48,194761,0.0-17.0-2.10,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-slider-response,49,195763,0.0-17.0-0.11,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1000,"
                  <p style=""text-align: center;"">₪79
                                                <br>65%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,31,8A,,,,,,,,,,,,,
,,,,,html-slider-response,50,198118,0.0-17.0-1.11,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,2355,"
                  <p style=""text-align: center;"">₪79
                                                <br>65%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",38,evaluation,29,31,8A,65,79,38,,,,,,,,,,
,,,,,html-keyboard-response,51,199348,0.0-17.0-2.11,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-slider-response,52,200361,0.0-17.0-0.12,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1000,"
                  <p style=""text-align: center;"">₪18
                                                <br>25%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,9,"14A,23A",,,,,,,,,,,,,
,,,,,html-slider-response,53,202374,0.0-17.0-1.12,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,2012,"
                  <p style=""text-align: center;"">₪18
                                                <br>25%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",5,evaluation,25,9,"14A,23A",25,18,5,,,,,,,,,,
,,,,,html-keyboard-response,54,203495,0.0-17.0-2.12,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-slider-response,55,204498,0.0-17.0-0.13,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1000,"
                  <p style=""text-align: center;"">₪11
                                                <br>75%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,7,"6B,18B,22C,24C,29A",,,,,,,,,,,,,
,,,,,html-slider-response,56,207814,0.0-17.0-1.13,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,3316,"
                  <p style=""text-align: center;"">₪11
                                                <br>75%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",7,evaluation,62,7,"6B,18B,22C,24C,29A",75,11,8,,,,,,,,,,
,,,,,html-keyboard-response,57,209299,0.0-17.0-2.13,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-slider-response,58,210306,0.0-17.0-0.14,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1000,"
                  <p style=""text-align: center;"">₪11
                                                <br>25%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,5,"12A,27B,28B,30B",,,,,,,,,,,,,
,,,,,html-slider-response,59,213150,0.0-17.0-1.14,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,2843,"
                  <p style=""text-align: center;"">₪11
                                                <br>25%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",1,evaluation,14,5,"12A,27B,28B,30B",25,11,2,,,,,,,,,,
,,,,,html-keyboard-response,60,214160,0.0-17.0-2.14,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-slider-response,61,215166,0.0-17.0-0.15,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1000,"
                  <p style=""text-align: center;"">₪58
                                                <br>40%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,20,"10C,13A,19C,21B",,,,,,,,,,,,,
,,,,,html-slider-response,62,219173,0.0-17.0-1.15,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"
                  <p style=""text-align: center;"">₪58
                                                <br>40%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",null,evaluation,63,20,"10C,13A,19C,21B",40,58,11,,,,,,,,,,
,,,,,html-keyboard-response,63,220034,0.0-17.0-2.15,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-slider-response,64,221044,0.0-17.0-0.16,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1000,"
                  <p style=""text-align: center;"">₪71
                                                <br>75%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,28,8B,,,,,,,,,,,,,
,,,,,html-slider-response,65,222326,0.0-17.0-1.16,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1281,"
                  <p style=""text-align: center;"">₪71
                                                <br>75%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",30,evaluation,79,28,8B,75,71,30,,,,,,,,,,
,,,,,html-keyboard-response,66,223624,0.0-17.0-2.16,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-slider-response,67,224628,0.0-17.0-0.17,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1000,"
                  <p style=""text-align: center;"">₪36
                                                <br>60%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,12,"1C,7C,15C",,,,,,,,,,,,,
,,,,,html-slider-response,68,225990,0.0-17.0-1.17,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1361,"
                  <p style=""text-align: center;"">₪36
                                                <br>60%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",26,evaluation,54,12,"1C,7C,15C",60,36,27,,,,,,,,,,
,,,,,html-keyboard-response,69,227307,0.0-17.0-2.17,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-slider-response,70,228322,0.0-17.0-0.18,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1000,"
                  <p style=""text-align: center;"">₪39
                                                <br>60%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,15,"9C,25B",,,,,,,,,,,,,
,,,,,html-slider-response,71,229910,0.0-17.0-1.18,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1587,"
                  <p style=""text-align: center;"">₪39
                                                <br>60%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",17,evaluation,21,15,"9C,25B",60,39,17,,,,,,,,,,
,,,,,html-keyboard-response,72,230681,0.0-17.0-2.18,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
,,,,,html-slider-response,73,231698,0.0-17.0-0.19,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1000,"
                  <p style=""text-align: center;"">₪11
                                                <br>45%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>&ensp;</p>",-,viewing,0,6,"14B,21C,25C",,,,,,,,,,,,,
,,,,,html-slider-response,74,233670,0.0-17.0-1.19,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1971,"
                  <p style=""text-align: center;"">₪11
                                                <br>45%</p>
                  <p id=""wtp"" style=""text-align:center; margin-top: 0px; margin-bottom: 0px; font-size: 40px"";>מוכנים לשלם: <span id=""c_p_y""></span></p>",6,evaluation,14,6,"14B,21C,25C",45,11,6,,,,,,,,,,
,,,,,html-keyboard-response,75,235046,0.0-17.0-2.19,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,null,"<p style=""text-align: center;"">+</p>",null,fixation,,,,,,,,,,,,,,,,
